EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,GENDER,MANAGER_ID,DEPARTMENT_ID
117,Sigal,Tobias,STOBIAS,515.127.4564,24-Jul-05,PU_CLERK,2800,F,114,ELECTRONICS
198,Guy,Himuro,GHIMURO,515.127.4565,15-Nov-06,PU_CLERK,2600,M,114,ELECTRONICS
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-Aug-07,PU_CLERK,2500,M,114,ELECTRONICS
120,Matthew,Weiss,MWEISS,650.123.1234,18-Jul-04,ST_MAN,8000,F,100,ELECTRONICS
121,Adam,Fripp,AFRIPP,650.123.2234,10-Apr-05,ST_MAN,8200,M,100,ELECTRONICS
122,Payam,Kaufling,PKAUFLIN,650.123.3234,01-May-03,ST_MAN,7900,M,100,ELECTRONICS
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,6500,F,100,TECHNICAL
121,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,5800,M,100,TECHNICAL
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200,M,120,TECHNICAL
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700,F,120,TECHNICAL
127,James,Landry,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,2400,M,120,TECHNICAL
128,Steven,Markle,SMARKLE,650.124.1434,08-Mar-08,ST_CLERK,2200,M,120,TECHNICAL
129,Laura,Bissot,LBISSOT,650.124.5234,20-Aug-05,ST_CLERK,3300,F,121,TECHNICAL
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-Oct-05,ST_CLERK,2800,M,121,EMP
131,James,Marlow,JAMRLOW,650.124.7234,16-Feb-05,ST_CLERK,2500,M,121,EMP
132,TJ,Olson,TJOLSON,650.124.8234,10-Apr-07,ST_CLERK,2100,F,121,EMP
133,Jason,Mallin,JMALLIN,650.127.1934,14-Jun-04,ST_CLERK,3300,M,122,EMP
134,Michael,Rogers,MROGERS,650.127.1834,26-Aug-06,ST_CLERK,2900,M,122,EMP
135,Ki,Gee,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2400,F,122,EMP
136,Hazel,Philtanker,HPHILTAN,650.127.1634,06-Feb-08,ST_CLERK,2200,M,122,EMP
137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,3600,F,123,EMP
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200,M,123,EMP
139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700,M,123,EMP
121,Joshua,Patel,JPATEL,650.121.1834,06-Apr-06,ST_CLERK,2500,F,123,EMP
